values,id
-1.71,Meade County
-5.84,Mercer County
-10.69,Metcalfe County
-3.3,Monroe County
0.14,Montgomery County
2.39,Morgan County
-3.45,Muhlenberg County
-4,Nelson County
-3.94,Nicholas County
-3.8,Ohio County
6.14,Oldham County
-2.23,Owen County
-14.76,Pendleton County
-6.48,Perry County
-9.02,Pike County
0.75,Powell County
-0.25,Pulaski County
-6.77,Rockcastle County
3.51,Rowan County
-1.77,Russell County
2.4,Scott County
2.11,Shelby County
-3.13,Simpson County
-3.23,Spencer County
4.52,Taylor County
-6.96,Todd County
-5.72,Trigg County
-12.86,Trimble County
0.48,Union County
0.01,Warren County
1.67,Washington County
-0.12,Wayne County
-6.78,Webster County
1.81,Whitley County
-5.6,Woodford County
-0.46,Acadia Parish
-1.75,Allen Parish
-3.72,Ascension Parish
0.43,Assumption Parish
-0.99,Avoyelles Parish
-3.81,Beauregard Parish
-12.12,Bienville Parish
-7.21,Bossier Parish
-1.77,Caddo Parish
-3.13,Calcasieu Parish
-7.89,Caldwell Parish
7.23,Cameron Parish
-30.63,Catahoula Parish
-8.57,Claiborne Parish
-4.19,Concordia Parish
-0.16,De Soto Parish
-4.11,East Baton Rouge Parish
-4.58,East Feliciana Parish
-1.37,Evangeline Parish
-2.54,Franklin Parish
-3.82,Grant Parish
-2.42,Iberia Parish
-5.4,Iberville Parish
-4.21,Jackson Parish
-5.64,Jefferson Davis Parish
-6.73,Jefferson Parish
-1.75,La Salle Parish
-3.31,Lafayette Parish
-5.89,Lafourche Parish
-7.5,Lincoln Parish
-4.29,Livingston Parish
-6.4,Madison Parish
1.09,Morehouse Parish
-11.13,Natchitoches Parish
-12.85,Orleans Parish
-6.73,Ouachita Parish
-13.92,Plaquemines Parish
-0.22,Pointe Coupee Parish
-6.7,Rapides Parish
-20.55,Red River Parish
0.25,Richland Parish
1.26,Sabine Parish
-3.75,St. Bernard Parish
-4.83,St. Charles Parish
-16.02,St. Helena Parish
-5.51,St. James Parish
-11.75,St. John the Baptist Parish
-0.78,St. Landry Parish
-0.88,St. Martin Parish
-7.63,St. Mary Parish
-1.56,St. Tammany Parish
-1.27,Tangipahoa Parish
-4.75,Terrebonne Parish
0.25,Union Parish
0.08,Vermilion Parish
-5.23,Vernon Parish
-0.81,Washington Parish
-2.32,Webster Parish
-1.63,West Baton Rouge Parish
-5.65,West Carroll Parish
-15.68,West Feliciana Parish
-3.68,Winn Parish
-6.42,Androscoggin County
-3.77,Aroostook County
0.14,Cumberland County
-0.94,Franklin County
-2.93,Hancock County
-6.64,Kennebec County
0.08,Knox County
-0.85,Lincoln County
-5.78,Oxford County
-1.42,Penobscot County
-9.05,Piscataquis County
-6.22,Sagadahoc County
-1.71,Somerset County
-5.7,Waldo County
1.67,Washington County
0.86,York County
-7.94,Allegany County
-6.37,Anne Arundel County
-3.88,Baltimore
-0.25,Baltimore County
-2.36,Calvert County
-9.39,Caroline County
0.42,Carroll County
-5.4,Cecil County
-12.35,Charles County
0.8,Dorchester County
-1.44,Frederick County
-7.6,Garrett County
2.75,Harford County
1.4,Howard County
-4.02,Kent County
0.14,Montgomery County
-3.95,Prince George's County
-10.81,Queen Anne's County
-1.71,Somerset County
-2.2,St. Mary's County
-7.13,Talbot County
1.67,Washington County
-10.83,Wicomico County
-3.41,Worcester County
-2.18,Barnstable County
-5.6,Berkshire County
-6.87,Bristol County
-21.93,Dukes County
-6.19,Essex County
-0.94,Franklin County
-1.12,Hampden County
-1.94,Hampshire County
-5.47,Middlesex County
-13.93,Nantucket County
-5.23,Norfolk County
2.92,Plymouth County
-9.34,Suffolk County
-3.41,Worcester County
-14.57,Alcona County
-26.72,Alger County
-5.98,Allegan County
-8.42,Alpena County
-15,Antrim County
-3.13,Arenac County
-41.3,Baraga County
0.24,Barry County
-1.53,Bay County
-2.2,Benzie County
7.2,Berrien County
-4.2,Branch County
-0.95,Calhoun County
-3.64,Cass County
-17.79,Charlevoix County
-7.31,Cheboygan County
-13.81,Chippewa County
-5.73,Clare County
-2.18,Clinton County
-2.3,Crawford County
-11.31,Delta County
-8.1,Dickinson County
-8.3,Eaton County
-9.2,Emmet County
-1.44,Genesee County
-7.99,Gladwin County
-18.63,Gogebic County
-7.79,Grand Traverse County
-4.58,Gratiot County
-3.24,Hillsdale County
-15.13,Houghton County
-3.69,Huron County
-6.81,Ingham County
-6.36,Ionia County
-7.94,Iosco County
1.57,Iron County
-8.52,Isabella County
-0.4,Jackson County
-3.03,Kalamazoo County
-11.19,Kalkaska County
-4.02,Kent County
-4.2,Lake County
-5.79,Lapeer County
-21.82,Leelanau County
-6.48,Lenawee County
-2.08,Livingston County
-23.8,Luce County
-17.44,Mackinac County
3.68,Macomb County
-10.67,Manistee County
-4.91,Marquette County
4.18,Mason County
-4.85,Mecosta County
-8.87,Menominee County
-5.93,Midland County
-13.36,Missaukee County
-3.3,Monroe County
-2.39,Montcalm County
-14.63,Montmorency County
5.99,Muskegon County
6.05,Newaygo County
-5.99,Oakland County
-2.68,Oceana County
-7.31,Ogemaw County
-8.32,Osceola County
-17.55,Oscoda County
-6.75,Otsego County
6.23,Ottawa County
-20.8,Presque Isle County
-15.78,Roscommon County
-8.94,Saginaw County
-2.07,Sanilac County
-34.31,Schoolcraft County
-5.52,Shiawassee County
0.24,St. Clair County
0.45,St. Joseph County
-4.73,Tuscola County
-2.17,Van Buren County
-8.23,Washtenaw County
-0.12,Wayne County
-5.56,Wexford County
-23.55,Aitkin County
0.07,Anoka County
-3.97,Becker County
-6.88,Beltrami County
3.27,Benton County
-7.7,Blue Earth County
-6,Brown County
-7.41,Carlton County
-6.82,Carver County
-3.64,Cass County
-13.81,Chippewa County
-11.45,Chisago County
5.57,Clay County
-20.05,Clearwater County
-4.41,Cook County
-20.82,Cottonwood County
-10.19,Crow Wing County
0.46,Dakota County
-5.79,Dodge County
-3.64,Douglas County
-9.18,Faribault County
-10.93,Fillmore County
-3.47,Freeborn County
-8.4,Goodhue County
3.33,Grant County
-7.3,Hennepin County
-1.57,Houston County
-6.2,Hubbard County
-8.83,Isanti County
-4.27,Itasca County
-0.4,Jackson County
-6.94,Kanabec County
-4.94,Kandiyohi County
-10.85,Koochiching County
-11.86,Lac qui Parle County
-4.2,Lake County
-71,Lake of the Woods County
9.89,Le Sueur County
-0.85,Lincoln County
-3.13,Lyon County
-25.05,Mahnomen County
5.75,Marshall County
-3.77,Martin County
-2.16,McLeod County
-8.91,Meeker County
-4.88,Mille Lacs County
-14.54,Morrison County
-3.65,Mower County
0.07,Murray County
-7.93,Nicollet County
-9.31,Nobles County
-7.18,Norman County
-4.65,Olmsted County
-2.56,Otter Tail County
5.21,Pennington County
-15.07,Pine County
-9.95,Pipestone County
-0.89,Polk County
-3.79,Pope County
-4.53,Ramsey County
-14.28,Redwood County
-18.08,Renville County
-7.51,Rice County
-1.12,Rock County
-12.9,Roseau County
2.4,Scott County
-12.53,Sherburne County
-20.64,Sibley County
-3.79,St. Louis County
-17.66,Stearns County
-11.88,Steele County
-3.67,Stevens County
-10.61,Swift County
-6.96,Todd County
-6.02,Wabasha County
-4.39,Wadena County
-11.75,Waseca County
1.67,Washington County
-17.32,Watonwan County
-9.55,Wilkin County
-14.51,Winona County
-1.88,Wright County
-26.86,Yellow Medicine County
-0.29,Adams County
-4.21,Alcorn County
-16.36,Amite County
1.39,Attala County
3.27,Benton County
